roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
2014,32,Matt,Szucs,Freshman,Forward,,175,Richmond,VA,Midlothian,,Wake Forest University,ATLANTIC COAST,https://godeacs.com/roster.aspx?rp_id=2392,,
2008,17,Matt,Tapajcik,Junior,Defender,6'1,180,Alexandria,VA,,Gonzaga College,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5531,Y,
2009,15,Matt,Tapajcik,Senior,Defender,6'1,175,Alexandria,VA,,Gonzaga College,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5500,N,
2011,16,Matt,Taylor,Freshman,Defender,5'11,160,Redwood City,CA,Bellarmine College Prep,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6420,,
2012,16,Matt,Taylor,Sophomore,Defender,5'11,160,Redwood City,CA,Bellarmine College Prep,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6607,,
2013,16,Matt,Taylor,Junior,Defender,5'11,160,Redwood City,CA,Bellarmine College Prep,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6837,,
2014,16,Matt,Taylor,Senior,Defender,5'11,160,Redwood City,CA,Bellarmine College Prep,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6925,N,
2007,19,Matt,Thaeder,Freshman,Forward,5'9,,Kennett Square,PA,,Unionville,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4262,N,
2009,16,Matt,Thaeder,Junior,Forward,5'9,,Kennett Square,PA,,Unionville,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=5649,Y,
2010,16,Matt,Thaeder,Senior,Midfielder,5'9,,Kennett Square,PA,,Unionville,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6581,N,
2017,9,Matt,Thorsheim,Freshman,Midfielder,6'0,154,Manalapan,NJ,Christian Brothers Academy,,Bucknell University,PATRIOT,https://bucknellbison.com/roster.aspx?rp_id=2183,Y,Third Team
