city,institution,stateorprovince,country,LATITUDE,LONGITUDE,school_type
,Marvelwood School,CT,USA,41.7829619,-73.4559097,BOARDING
,Massanutten Military Academy,VA,USA,38.8761614,-78.5103532,BOARDING
,Maur Hill Mount Academy,KS,USA,39.545859,-95.126768,BOARDING
,McCallie School,TN,USA,35.0278771,-85.2626264,BOARDING
,McDonogh School,MD,USA,39.3956283,-76.7770846,BOARDING
,Memphis University School,TN,USA,35.0981377,-89.8561316,BOARDING
,Menaul School,NE,USA,35.1107087,-106.6382253,BOARDING
,Mercersburg Academy,PA,USA,39.8263022,-77.8978126,BOARDING
,Middlesex School,MA,USA,42.4943313,-71.3722381,BOARDING
,Midland School,CA,USA,33.955233,-117.2391307,BOARDING
,Millbrook School,NY,USA,41.8566122,-73.6203348,BOARDING
,Milton Academy,MA,USA,42.257565,-71.0717499,BOARDING
,Milton Hershey School,PA,USA,40.2571537,-76.6256903,BOARDING
,Miss Hall's School,MA,USA,42.425876,-73.2440897,BOARDING
,Miss Porter's School,CT,USA,41.7224829,-72.8293562,BOARDING
,Mission Mountain School,MT,USA,47.529051,-114.1029797,BOARDING
,Mississippi School for Mathematics and Science,MS,USA,33.4916316,-88.4177374,BOARDING
,Mississippi School of the Arts,MS,USA,31.580072,-90.4471893,BOARDING
,Missouri Military Academy,MO,USA,39.1722016,-91.8676725,BOARDING
,Monarch School,CA,USA,32.7026259,-117.1500917,BOARDING
,Montana Academy,MT,USA,48.1050643,-114.8775024,BOARDING
,Monte Vista Christian School,CA,USA,36.9831712,-121.767859,BOARDING
,Mount Bachelor Academy,NE,USA,44.302271,-120.8366271,BOARDING
,Mount Vernon Academy,UT,USA,40.6484932,-111.8847441,BOARDING
,Mt. Edgecumbe High School,AK,USA,57.0537111,-135.3536851,BOARDING
,Mt. Michael Benedictine,NE,USA,41.3165396,-96.2688623,BOARDING
,New Hampton School,NH,USA,43.6075733,-71.6520255,BOARDING
,New Leaf Academy,OR,USA,44.0929234,-121.2231228,BOARDING
,New Leaf Academy,OR,USA,44.0929234,-121.2231228,BOARDING
,New Mexico Military Institute,NM,USA,33.4092357,-104.5249514,BOARDING
,North Carolina School of Science and Mathematics,NC,USA,36.0196145,-78.9207145,BOARDING
,North Carolina School of the Arts,NC,USA,36.076292,-80.237011,BOARDING
,North Country School,NY,USA,44.2211413,-73.8989389,BOARDING
,Northfield Mount Hermon School,MA,USA,42.666997,-72.4851107,BOARDING
,Northwest School,WA,USA,47.6134333,-122.3259047,BOARDING
,Northwood School,OH,USA,40.2999765,-84.1613237,BOARDING
,Oak Ridge Military Academy,NC,USA,36.1751732,-79.9866378,BOARDING
,Oakland School,VA,USA,37.9526791,-78.3119577,BOARDING
,Oaklawn Academy,WI,USA,42.873613,-89.0183635,BOARDING
,Oakley School,KS,USA,39.1325472,-100.8548827,BOARDING
,Ojai Valley School,CA,USA,34.444034,-119.257281,BOARDING
,Oldfields School,MD,USA,39.5560702,-76.6252344,BOARDING
,Oliverian School,NH,USA,44.0283951,-71.9751865,BOARDING
,Olney Friends School,OH,USA,39.9846972,-81.1507879,BOARDING
,Oneida Baptist Institute,KY,USA,37.2673358,-83.6494133,BOARDING
,Oregon Episcopal School,OR,USA,45.4745601,-122.7562345,BOARDING
,Oxford Academy,CA,USA,33.823737,-118.0423449,BOARDING
,Perkiomen School,PA,USA,40.399673,-75.503798,BOARDING
,Phillips Academy,MA,USA,42.6471655,-71.1322796,BOARDING
,Phillips Exeter Academy,NH,USA,42.9810944,-70.9517548,BOARDING
,Pine Forge Academy,PA,USA,40.2826801,-75.7030319,BOARDING
,Piney Woods Country Life School,MS,USA,32.0623401,-89.9926226,BOARDING
,Pomfret School,CT,USA,41.8841789,-71.9619834,BOARDING
,Portsmouth Abbey School,RI,USA,41.602334,-71.27111,BOARDING
,Proctor Academy,NH,USA,43.4370471,-71.8233418,BOARDING
,Provo Canyon School,UT,USA,40.2930259,-111.6624526,BOARDING
,Purnell School,NJ,USA,40.715667,-74.7176353,BOARDING
,Rabun Gap-Nacoochee School,GA,USA,34.9618615,-83.390914,BOARDING
,Randolph-Macon Academy,VA,USA,38.9222989,-78.1987515,BOARDING
,Riverside Military Academy,GA,USA,34.3323099,-83.8325229,BOARDING
,Riverview School,AR,USA,35.1608788,-91.5596117,BOARDING
,Robinson School,IL,USA,39.0186774,-87.7397292,BOARDING
,Ross School,TX,USA,29.457271,-98.6009497,BOARDING
,Rumsey Hall School,CT,USA,41.678232,-73.295523,BOARDING
,Saint Bede Academy,IL,USA,41.3219097,-89.1659235,BOARDING
,Saint John's Prep,MA,USA,42.5826313,-70.9526942,BOARDING
,Saint Mary's School,OK,USA,36.0925073,-95.9735919,BOARDING
,Saint Stanislaus College,MS,USA,30.306702,-89.3290697,BOARDING
,Saint Thomas Choir School,NY,USA,40.766259,-73.980286,BOARDING
,Salem Academy,NC,USA,36.0881317,-80.2382741,BOARDING
,San Marcos Baptist Academy,TX,USA,29.8983813,-98.0020944,BOARDING
,Santa Catalina School,CA,USA,36.5920469,-121.8689478,BOARDING
,Shattuck-Saint Mary's,MN,USA,44.3022459,-93.260187,BOARDING
,Shenandoah Valley Academy,VA,USA,38.6493228,-78.6897774,BOARDING
,Shepherd's Hill Academy,GA,USA,34.4841661,-83.1674378,BOARDING
,Shortridge Academy,NH,USA,43.4441744,-71.0512369,BOARDING
,Solebury School,PA,USA,40.3813034,-74.9894571,BOARDING
,South Carolina Governor's School for Science and Mathematics,SC,USA,34.3732111,-80.0650735,BOARDING
,South Carolina Governor's School for the Arts and Humanities,SC,USA,34.8432508,-82.4025406,BOARDING
,South Kent School,CT,USA,41.6761997,-73.4797535,BOARDING
,Southwestern Academy,CA,USA,34.115132,-118.13225,BOARDING
,Southwestern Academy,CA,USA,34.115132,-118.13225,BOARDING
,Spring Creek Lodge Academy,MT,USA,47.7717508,-115.4544492,BOARDING
,Spring Street International School,WA,USA,48.5319483,-123.0202386,BOARDING
,St John's High School,MI,USA,42.9913509,-84.566291,BOARDING
,St. Albans School,DC,USA,38.9284611,-77.0717149,BOARDING
,St. Andrew's School,KS,USA,37.2251014,-95.7017211,BOARDING
,St. Andrew's School,KS,USA,37.2251014,-95.7017211,BOARDING
,St. Andrew's-Sewanee School,TN,USA,35.2171016,-85.8912683,BOARDING
,St. Anne's-Belfield School,VA,USA,38.0426208,-78.5155064,BOARDING
,St. Benedict's Preparatory School,IL,USA,41.9524958,-87.6838856,BOARDING
,St. Bernard Preparatory School,AL,USA,34.173497,-86.8147303,BOARDING
,St. Catherine's Academy,CA,USA,33.835538,-117.921483,BOARDING
,St. Croix Lutheran High School,MN,USA,44.9094608,-93.0729263,BOARDING
,St. George's School,RI,USA,41.4909882,-71.2731677,BOARDING
,St. James School,MO,USA,37.995694,-91.6116186,BOARDING
,St. John's Military School,WI,USA,43.0646756,-88.404327,BOARDING
,St. Johnsbury Academy,VT,USA,44.416193,-72.019289,BOARDING
,St. Lawrence Seminary High School,WI,USA,43.823807,-88.249395,BOARDING
,St. Margaret's School,WY,USA,43.0265482,-108.3827957,BOARDING
,St. Mark's School,KS,USA,37.7351987,-97.5604746,BOARDING
,"St. Mary's College, Kansas",KS,USA,39.191902,-96.061074,BOARDING
