id,Roster_Year,Player_Number,First_Name,Last_Name,Year,Position1,Position2,Position3,Height,Weight,Home_Town,State_or_Country,High_School,Alternative_School,College,College_League,Bio_Link
6363,2010,2,Ryan,Malden,Freshman,Defender,,,6'0,165,Agoura Hills,CA,Loyola,Loyola,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1577
6366,2010,1,Trevor,McManamon,Sophomore,Goalkeeper,,,6'0,165,San Jose,CA,Bellarmine College Prep,Bellarmine College Prep,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3158
6367,2010,13,Mark,Millard,Junior,Forward,,,5'10,164,Oak Ridge,NC,Northwest Guilford,Northwest Guilford,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1568
6369,2010,22,Evin,Nadaner,Freshman,Back,,,5'9,165,Bronx,NY,HSMSE at CCNY,HSMSE at CCNY,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3179
6371,2010,19,Ayo,Olasupo,Junior,Forward,,,6'1,,Austin,TX,St. Stephen's School,St. Stephen's School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6574
6372,2010,18,Cameron,Omsberg,Sophomore,Midfielder,,,6'1,,Belgrade,ME,Messalonskee,Messalonskee,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6579
6374,2010,21,Coleman,O'Neill,Freshman,Defender,,,6'2,165,Silver Spring,MD,The Field School,The Field School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1583
6375,2010,11,Peter,Paras,Sophomore,Midfielder,,,5'10,157,Dublin,OH,The Columbus Academy,The Columbus Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1570
6377,2010,9,Yannick,Pilgrim,Senior,Forward,,,6'0,155,Arima,Trinidad & Tobago,Hotchkiss School,Hotchkiss School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1571
6378,2010,10,Joe,Puleo,Junior,Forward,,,5'10,,Preston,PA,Chartiers Valley,Chartiers Valley,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6571
6379,2010,17,Christopher,Rabey,Junior,Midfielder,,,5'9,,Houston,TX,The Kinkaid School,The Kinkaid School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6572
6380,2010,8,George,Ramsay,Sophomore,Midfielder,,,6'1,184,Atlanta,GA,Druid Hills,Druid Hills,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1572
6385,2010,1,Chip,Sanders,Junior,Goalkeeper,,,6'5,199,Thomasville,GA,Thomas County Central,Thomas County Central,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1573
6386,2010,7,Dennis,Shannon,Junior,Defender,,,5'11,146,Denver,CO,Collegiate Academy,Collegiate Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1574
6387,2010,15,Peter,Shelton,Senior,Midfielder,,,5'10,160,Raleigh,NC,Ravenscroft,Ravenscroft,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1575
