ID,ADDRESS1,INSTITUTION,ADDRESS2,CITY,PROVINCE,ZIP,COUNTRY,LATITUDE,LONGITUDE
700601,40 HECTOR STREET,BOB HUGHES CHRISTIAN SCHOOL,,CHESTER HILL,NSW,NSW 2162,AUSTRALIA,-33.876562,151.0093975
700669,215 FORBES STREET,SCEGGS DARLINGHURST,,DARLINGHURST,NSW,NSW 2010,AUSTRALIA,-33.8764277,151.2187158
700100,COLLEGE STREET,SYDNEY GRAMMAR SCHOOL,,DARLINGHURST,NSW,NSW 2010,AUSTRALIA,-33.8753312,151.2133221
700675,VICTORIA RD,SCOTS COLLEGE,,BELLEVUE HILL,NSW,NSW 2023,AUSTRALIA,-33.8749668,151.2530665
700630,10-12 REDMYRE RD,MERIDEN SCHOOL,,STRATHFIELD,NSW,NSW 2135,AUSTRALIA,-33.8743211,151.0899247
700600,5 VICTORIA ROAD,CRANBROOK SCHOOL,,BELLEVUE HILL,NSW,NSW 2023,AUSTRALIA,-33.872345,151.251112
700405,LOCKED BAG 2700,SAINT VINCENTS COLLEGE,,POTTS POINT,NSW,NSW 1335,AUSTRALIA,-33.869612,151.223758
700525,794 NEW SOUTH HEAD ROAD,KAMBALA,ROSE BAY,SYDNEY,NSW,NSW 2029,AUSTRALIA,-33.864859,151.271648
700648,NEW SOUTH HEAD ROAD,KINCOPPAL ROSE BAY SCH SACRED,ROSE BAY,SYDNEY,NSW,NSW 2029,AUSTRALIA,-33.8633126,151.271052
700418,47 UPPER PITT ST,SAINT ALOYSIUS COLLEGE,,MILSONS POINT,NSW,NSW 2061,AUSTRALIA,-33.8487081,151.2141146
700764,85 CARABELLA ST KIRRIBILLI,LORETO KIRRIBILLI,,SYDNEY,NSW,NSW 2099,AUSTRALIA,-33.8472595,151.2164369
700003,176 WALKER ST,WENONA SCHOOL,,NORTH SYDNEY,NSW,NSW 2060,AUSTRALIA,-33.833717,151.209284
700170,MARK STREET,SAINT JOSEPHS COLLEGE-HUNTERS,,HUNTERS HILL,NSW,NSW 2110,AUSTRALIA,-33.8311869,151.138813
700220,272 MILITARY RD,REDLANDS,,CREMORNE,NSW,NSW 2090,AUSTRALIA,-33.830448,151.225553
700665,TAMBOURINE BAY RD,SAINT IGNATIUS COLLEGE,LANE COVE,RIVERVIEW,NSW,NSW 2066,AUSTRALIA,-33.8279799,151.1560607
700629,LOCKED BAG 1,QUEENWOOD SCHOOL FOR GIRLS,,MOSMAN,NSW,NSW 2088,AUSTRALIA,-33.8238119,151.2486805
700641,PO BOX 1,KINGS SCHOOL,,PARRAMATTA,NSW,NSW 2124,AUSTRALIA,-33.789166,151.0198467
700008,419 A WINDSOR ROAD,BAULKHAM HILLS HIGH SCHOOL,,BAULKHAM HILLS,NSW,NSW 2153,AUSTRALIA,-33.7519921,150.9902021
700241,AVON RD,PYMBLE LADIES COLLEGE,PYMBLE,NEW SOUTH WALES,NSW,NSW 2073,AUSTRALIA,-33.7466553,151.1360061
700420,PENNANT HILLS ROAD,LORETO NORMANHURST,,NORMANHURST,,,AUSTRALIA,-33.7260445,151.0987257
700352,LOCKED BAG 1666,ABBOTSLEIGH,,WAHROONGA,NSW,NSW 2076,AUSTRALIA,-33.7204018,151.1151981
