id,Roster_Year,First_Name,Last_Name,Accolade,College
1401,2015,Lewis,Hawke,Second Team,Furman University
1402,2015,Damieon,Thomas,Second Team,UNCG NOT APPLICABLE
1403,2015,Matthew,Aurednik,Second Team,Wofford College
1404,2015,Eli,Pinner,Second Team,Furman University
1405,2015,Conner,Antley,Second Team,Mercer NOT APPLICABLE
1406,2015,Matteo,Busio,Second Team,UNCG NOT APPLICABLE
1407,2015,Will,Puckett,Second Team,Wofford College
1408,2015,Airrion,Blackstock,Second Team,Mercer NOT APPLICABLE
1409,2015,Nicholas,Downs,Second Team,UNCG NOT APPLICABLE
1410,2015,Jordan,Poarch,Second Team,UNCG NOT APPLICABLE
1411,2015,Jonny,Sutherland,Second Team,ETSU NOT APPLICABLE
1412,2015,Jeremy,Booth,Second Team,Mercer NOT APPLICABLE
1413,2016,Fletcher,Ekern,First Team,ETSU NOT APPLICABLE
1414,2016,Lewis,Hawke,First Team,Furman University
1415,2016,Will,Bagrou,First Team,Mercer NOT APPLICABLE
1416,2016,Damieon,Thomas,First Team,UNCG NOT APPLICABLE
1417,2016,Serge,Gomis,First Team,ETSU NOT APPLICABLE
1418,2016,Leeroy,Maguraushe,First Team,UNCG NOT APPLICABLE
1419,2016,Jordan,Duru,First Team,Mercer NOT APPLICABLE
1420,2016,Chase,Clack,First Team,ETSU NOT APPLICABLE
1421,2016,Kyle,McLagan,First Team,Furman University
1422,2016,Ian,Antley,First Team,Mercer NOT APPLICABLE
1423,2016,Conner,Antley,First Team,Mercer NOT APPLICABLE
1424,2016,Jonny,Sutherland,First Team,ETSU NOT APPLICABLE
1425,2016,Joao,Ramalho,Second Team,ETSU NOT APPLICABLE
1426,2016,Lucas,Altman,Second Team,Wofford College
1427,2016,Matthew,Aurednik,Second Team,Wofford College
1428,2016,Charlie,Machell,Second Team,ETSU NOT APPLICABLE
1429,2016,Marco,Ortiz,Second Team,Furman University
1430,2016,Connor,Donohue,Second Team,Wofford College
1431,2016,Joe,Pickering,Second Team,ETSU NOT APPLICABLE
1432,2016,Eric,Gunnarsson,Second Team,UNCG NOT APPLICABLE
1433,2016,Kyle,Nelson,Second Team,Wofford College
1434,2016,Jeremy,Booth,Second Team,Mercer NOT APPLICABLE
1435,2016,Joe,Wichmann,Second Team,Wofford College
1436,2017,Bruno,Andrade,First Team,ETSU NOT APPLICABLE
1437,2017,Fletcher,Ekern,First Team,ETSU NOT APPLICABLE
1438,2017,Will,Bagrou,First Team,Mercer NOT APPLICABLE
1439,2017,Lucas,Altman,First Team,Wofford College
1440,2017,Serge,Gomis,First Team,ETSU NOT APPLICABLE
1441,2017,Laurence,Wyke,First Team,Furman University
1442,2017,Leeroy,Maguraushe,First Team,UNCG NOT APPLICABLE
1443,2017,Chase,Clack,First Team,ETSU NOT APPLICABLE
1444,2017,Kevin,Edelmann,First Team,Furman University
